PIMS ID,Product,Suppliers
IDOXO,Doxorubicin 2mg/ml INJ,MWI Veterinary Supply
DRLTT,Dr. Larson's Teat Tube,"MWI Veterinary Supply, Patterson Veterinary Supply"
IDBT,Drill Bits/Taper,MWI Veterinary Supply
IDWS,Dura-white Stones 5pk,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IDURAPAD,Durasorb pads,"MWI Veterinary Supply, Patterson Vet Webster"
IDYMO,Dymo Labels,"IDEXX Laboratories, Para Medical Labels"
IESC,Ear Speculum cleaner,"Butler Schein, Patterson Veterinary Supply"
EZOS,Eaze-off Spray,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IS142,"Elasticon 2"" X2.5yds","Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IEL1,Elastikon Tape 1 inch,"MWI Veterinary Supply, Patterson Veterinary Supply"
ELDMASK,Eldridge Mask  Set of 3,Patterson Vet Webster
IET9MM,Endo tracheal tube 9mm,MWI Veterinary Supply
IS144,Endotracheal tube 03fr,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IS145,Endotracheal tube 04fr,"Butler Schein, MWI Veterinary Supply"
IS146,Endotracheal tube 05fr,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IS147,Endotracheal tube 06fr,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IS148,Endotracheal tube 07fr,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IS149,Endotracheal tube 08fr,"Butler Schein, MWI Veterinary Supply"
IS150,Endotracheal tube 09fr,"Butler Schein, MWI Veterinary Supply"
IS151,Endotracheal tube 10fr,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
I155,Endotracheal tube 11mm,MWI Veterinary Supply
ETT2,Endotracheal Tube 2.0mm Non-Cuffed,Patterson Veterinary Supply
ETT205C,Endotracheal Tube 2.5mm Cuffed,Patterson Veterinary Supply
ETT2.5,Endotracheal Tube 2.5mm non-cuffed,MWI Veterinary Supply
IEND3.5,Endotracheal tube 3.5fr,"MWI Veterinary Supply, Patterson Vet Webster"
ENDO4.5,Endotracheal Tube 4.5mm,MWI Veterinary Supply
ENDTUB55,Endotracheal Tube 5.5fr,MWI Veterinary Supply
IER,Endtube Rack,Butler Schein
IBAY10,Enrofloxacin ( Baytril ) 100mg/ml INJ,"Bayer, Medcare Products, MWI Veterinary Supply, Patterson Veterinary Supply"
IBAI20,Enrofloxacin ( Baytril ) 22.7mg/ml INJ,"Bayer, Elanco, MWI Veterinary Supply"
IEDT,Enzadent Duel End Toothbrush,MWI Veterinary Supply
IENZPAST,Enzadent Toothpaste,"MWI Veterinary Supply, Patterson Vet Webster"
I699,Epinephrine 1mg/ml ( 1:1000 ) INJ,"MWI Veterinary Supply, Patterson Vet Webster"
IEPIO,EpiOtic Advanced Ear flush 8oz,"Butler Schein, MWI Veterinary Supply"
IESRFF,Equipment Service/Repair Freight Fee,Patterson Vet Webster
IESBP,Esbilac Powder 12oz,MWI Veterinary Supply
I625,Euthasol INJ,"Butler Schein, Medcare Products, MWI Veterinary Supply"
ELCBSML,"Everlast Convective Blankets (S,M,L)",Patterson Veterinary Supply
EATF6,"Everost Allis Tissue Forceps 6""",Patterson Veterinary Supply
IEXGL,Exam gloves Sensicare,"MWI Veterinary Supply, Patterson Vet Webster"
IES,Extension Set/T Connector,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IFAIR,F/Air Canister,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IFTC,Facial Tissue Cube 85/36cs,Bayse Janitor Supply
IFAMI,Famotidine 10mg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IFLL,Fecal Loops large,"Butler Schein, Patterson Veterinary Supply"
IFLS,Fecal Loops Small,"Butler Schein, MWI Veterinary Supply"
