actions,PIMS ID,Product,Suppliers,Inventory Tags,Manufacturer,Buying Unit,Selling Unit,Buying Cost,Fixed Price,Non Billable,Markup,Selling Price,Dispensing Fee,Location,Priority,QOH Min,QOH Max
,AXVITALS421,AX - Volume Infused CRI,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,AXVITAL006,AX Blood Pressure (Diastolic),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,AXVITAL008,AX Blood Pressure (Doppler),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,AXVITAL007,AX Blood Pressure (Mean),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,AXVITAL005,AX Blood Pressure (Systolic),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,AXVITAL004,AX Oxygen Administration L/min,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,AXVITAL009,AX Pulse Oximetry (SpO2),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,BAS,Barium Administration,,,,Each,Each,0.0,no,no,,28.5,0,,,,
,BSCSUP,Basic Surgery Supplies,,,,Each,Each,0.0,no,no,,75.0,0,,,,
,BS,Bath - 0-20#,,,,Each,Each,0.0,no,no,,25.5,0,,,,
,BM,Bath - 21-40#,,,,Each,Each,0.0,no,no,,33.5,0,,,,
,BL,Bath - 41-60#,,,,Each,Each,0.0,no,no,,39.5,0,,,,
,BXL,Bath - 61-98#,,,,Each,Each,0.0,no,no,,45.75,0,,,,
,BXXL,Bath - 99-100# +,,,,Each,Each,0.0,no,no,,54.5,0,,,,
,BC,Bath - Courtesy,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,BF,Bath - Feline,,,,Each,Each,0.0,no,no,,36.5,0,,,,
,BWW,Bath - Washy Wednesday,,,,Each,Each,0.0,no,no,,15.0,0,,,,
,UTBIOPSY,Biopsy Submission to UT (3 Samples),,,,Each,Each,130.0,no,no,,292.5,0,,,,
,UTBIOPAD,Biopsy Submission to UT (Add. Site),,,,Each,Each,27.0,no,no,,60.75,0,,,,
