Name,Category,Secondary Category,Quantity,Ordering UoM,Last Count Date,Last Price,Total Cost
"Famotidine Tablets: 20Mg, 100 Count",Pharmaceuticals,Gastric Ulcer Drugs,0.47,bottle,04/21/2026 20:48:15,5.99,2.82
"Feeding Tube Sovereign Sterile: 14fr x 16""",Administration and Transfusion,Oral Esophageal Gastric Enterc,5,each,01/15/2026 20:57:38,1.38,6.90
"Felanorm (Methimazole) Oral Suspension for Cats 5mg/mL, 30mL",Pharmaceuticals,Hormones and Analogs,8,bottle,04/21/2026 19:56:39,16.00,128.00
"Felimazole Coated Tablets (Methimazole) for Cats 2.5mg, 100 Count ",Pharmaceuticals,Hormones and Analogs,0.09,bottle,04/06/2026 20:20:58,11.29,1.02
"Felimazole Coated Tablets (Methimazole) for Cats 5mg, 100 Count ",Pharmaceuticals,Hormones and Analogs,0.57,bottle,04/21/2026 19:59:37,17.52,9.99
"FELINE ESOPHAGOSTOMY TUBE 14FR UP TO 13 IN, FELINE ESOPHAGOSTOMY TUBE 14FR UP TO 13 IN",,,2,each,04/21/2026 20:15:59,23.37,46.74
"Feliway Multicat Diffuser: 30-Day Refill, 48ml",Pharmaceuticals,Antimicrobial Agents,1,box,03/23/2026 18:13:32,15.73,15.73
Feliway Multicat Diffuser: Starter Kit with 30-Day Refill,Pharmaceuticals,Behavior Modification Drugs,1,box,03/10/2026 16:45:07,19.67,19.67
Fentanyl C2 Injection: 50ml (50mcg/ml),Pharmaceuticals,Anesthetics,2.95,order unit,02/26/2026 20:47:42,36.03,106.29
FiveTen-K Endotracheal Tube PVC Clear Cuff: 7mm,Anesthesia,Endo tubes Laryngoscopes,0.66,order unit,12/15/2025 19:14:38,5.51,3.64
FiveTen-K Endotracheal Tube PVC Clear Cuff: 8mm,Anesthesia,Endo tubes Laryngoscopes,2,order unit,04/06/2026 19:41:59,5.51,11.02
FiveTen-K Endotracheal Tube PVC Clear Cuff: 9mm,Anesthesia,Endo tubes Laryngoscopes,3,order unit,02/26/2026 20:50:11,5.51,16.53
"Flexadin Advanced Chews for Dogs and Cats, 60 Count",Nutraceuticals,Joint Support,0,bag,04/21/2026 20:10:02,39.17,0.00
Flex-Coil (SAIV) System Core Swivel IV Set With 3' Coil - 1/Pkg,Administration and Transfusion,IV Sets and Connectors,0,order unit,03/10/2026 18:48:14,22.95,0.00
"Fluoride Preventive Treatment Gel, Mint, 4.3oz",Dentistry,Home Care,0.2,order unit,01/29/2026 21:26:41,18.05,3.61
FluoroFlox Chewable Tablet 100mg 50s:B50,,,1.14,bottle,04/21/2026 19:59:43,222.14,253.24
"Fluoxetine Capsules: 20mg, 100 Count",Pharmaceuticals,Behavior Modification Drugs,0.11,bottle,04/21/2026 20:38:32,4.84,0.53
"Fluriso (Isoflurane) Liquid for Inhalation, 250mL ",Surgery,Anesthesia & Anesthesia Accessories,2,bottle,04/21/2026 20:14:40,29.71,59.42
Fruity Tearless Shampoo: 16oz,Grooming,Shampoos and Conditioners,0.25,order unit,03/23/2026 18:43:52,7.09,1.77
Furosemide Tablet 20mg,,,1.32,order unit,05/04/2026 16:11:57,3.20,4.22
"Furosemide Tablets 12.5mg, 500 Count",Pharmaceuticals,Miscellaneous Pharmaceuticals,0.13,bottle,03/23/2026 19:03:39,63.22,8.22
"Furosemide Tablets 50mg, 500 Count",,,1,bottle,04/21/2026 19:56:46,102.62,102.62
"Gabapentin Capsules 300mg, 500 Count",Pharmaceuticals,Anticonvulsants,1.29,bottle,04/21/2026 19:56:56,22.18,28.61
"Gabapentin Capsules: 100Mg, 500 Count",Pharmaceuticals,Anticonvulsants,0.4,bottle,04/21/2026 20:47:26,9.50,3.80
"Gabapentin Catnip Scented Tiny Tabs: 25 mg/tab, 100 Tablet",Pharmaceuticals,Compounded Medication,1.34,bottle,04/21/2026 19:59:56,44.55,59.70
"Gabapentin Oral Solution, 250mg/5mL, Banana Flavored 470mL Bottle",Pharmaceuticals,Anticonvulsants,0,bottle,04/21/2026 20:30:50,65.23,0.00
"Gabapentin Quad tab: 100 mg/tab, 120 Tablet, Chicken",Pharmaceuticals,Compounded Medication,0.92,order unit,04/06/2026 20:27:27,0.00,0.00
"Galliprant Tablets: Gray, 100 mg, 30 Doses x 1 Count",Pharmaceuticals,Antiinflammatories,1.77,bottle,10/31/2025 15:43:48,81.34,143.97
"Galliprant Tablets: Maroon, 60 mg, 90 Doses x 1 Count",Pharmaceuticals,Antiinflammatories,0.63,bottle,03/30/2026 15:11:40,166.31,104.78
"Galliprant Tablets: Yellow, 20 mg, 90 Doses x 1 Count",Pharmaceuticals,Antiinflammatories,0.64,bottle,04/21/2026 20:00:03,88.42,56.59
"Gauze Sponge 4-Ply Premium, Non-Woven, Non-Sterile, 2"" x 2""",,,1,package,04/21/2026 20:16:08,1.66,1.66
"Gauze Sponge 4-Ply, Non-Sterile, 3"" x 3""",Wound Care and White Goods,Gauze Sponges and Lap Sponges,6,Pack,04/21/2026 20:16:13,1.82,10.92
Genia Velfast Self-Grip K9 E-Collars 30 cm,Wound Care and White Goods,Elizabethan and Recovery Collars,3,each,04/06/2026 19:41:48,14.11,42.33
